,Driver,Name,URL,Year,Race_Result,DNG_Reason
2071,Ott Tänak,Neste Oil Rally Finland,/entryinfo/396-neste-oil-rally-finland-2009/35430/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident                            </div>"
2077,Ott Tänak,Vodafone Rally de Portugal,/entryinfo/391-vodafone-rally-de-portugal-2009/31002/,2009,2,Null
0,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null
18,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560761/,2023,3,Null
36,Thierry Neuville,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507860/,2022,1,Null
52,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/73368-rallyracc-catalunya-costa-daurada-2022/3483874/,2022,2,Null
71,Thierry Neuville,Repco Rally New Zealand,/entryinfo/73367-repco-rally-new-zealand-2022/3475632/,2022,4,Null
88,Thierry Neuville,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424298/,2022,1,Null
104,Thierry Neuville,Ardeca Ypres Rally Belgium,/entryinfo/73805-ardeca-ypres-rally-belgium-2022/3428474/,2022,2,Null
124,Thierry Neuville,Secto Rally Finland,/entryinfo/73364-secto-rally-finland-2022/3412834/,2022,5,Null
145,Thierry Neuville,Rally Estonia,/entryinfo/73363-rally-estonia-2022/3399644/,2022,4,Null
169,Thierry Neuville,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373949/,2022,5,Null
188,Thierry Neuville,Rally Italia Sardegna,/entryinfo/73361-rally-italia-sardegna-2022/3351758/,2022,4,Null
207,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344643/,2022,5,Null
228,Thierry Neuville,Croatia Rally,/entryinfo/73359-croatia-rally-2022/3284634/,2022,3,Null
247,Thierry Neuville,Rally Sweden,/entryinfo/72282-rally-sweden-2022/3257127/,2022,2,Null
264,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3152127/,2022,6,Null
281,Thierry Neuville,FORUM8 ACI Rally Monza,/entryinfo/72918-forum8-aci-rally-monza-2021/3157527/,2021,4,Null
297,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126187/,2021,1,Null
314,Thierry Neuville,Secto Rally Finland,/entryinfo/68115-secto-rally-finland-2021/3118316/,2021,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Radiator                            </div>"
327,Thierry Neuville,EKO Acropolis Rally of Gods,/entryinfo/71264-eko-acropolis-rally-of-gods-2021/3096434/,2021,8,Null
342,Thierry Neuville,Renties Ypres Rally Belgium,/entryinfo/69179-renties-ypres-rally-belgium-2021/3077698/,2021,1,Null
361,Thierry Neuville,Rally Estonia,/entryinfo/68114-rally-estonia-2021/3057986/,2021,3,Null
385,Thierry Neuville,Safari Rally Kenya,/entryinfo/68113-safari-rally-kenya-2021/3033532/,2021,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Rear suspension                            </div>"
399,Thierry Neuville,Rally Italia Sardegna,/entryinfo/68112-rally-italia-sardegna-2021/3016209/,2021,3,Null
419,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/68111-vodafone-rally-de-portugal-2021/3005266/,2021,3,Null
439,Thierry Neuville,Croatia Rally,/entryinfo/67214-croatia-rally-2021/2945122/,2021,3,Null
459,Thierry Neuville,Arctic Rally Finland Powered by CapitalBox,/entryinfo/69715-arctic-rally-finland-powered-by-capitalbox-2021/2918696/,2021,3,Null
469,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/41079-rallye-automobile-monte-carlo-2021/2872594/,2021,3,Null
483,Thierry Neuville,ACI Rally Monza,/entryinfo/66881-aci-rally-monza-2020/2841163/,2020,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident damage                            </div>"
486,Thierry Neuville,Rally Italia Sardegna,/entryinfo/60433-rally-italia-sardegna-2020/2789335/,2020,2,Null
502,Thierry Neuville,Rally Turkey Marmaris,/entryinfo/60436-rally-turkey-marmaris-2020/2777492/,2020,2,Null
514,Thierry Neuville,Rally Estonia,/entryinfo/61497-rally-estonia-2020/2751919/,2020,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Electrical                            </div>"
530,Thierry Neuville,Rally Guanajuato México,/entryinfo/60429-rally-guanajuato-mexico-2020/2519741/,2020,1,Null
550,Thierry Neuville,Rally Sweden,/entryinfo/60140-rally-sweden-2020/2494762/,2020,6,Null
559,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/59972-rallye-automobile-monte-carlo-2020/2465681/,2020,1,Null
575,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/54472-rallyracc-catalunya-costa-daurada-2019/2386038/,2019,1,Null
592,Thierry Neuville,Wales Rally GB,/entryinfo/54471-wales-rally-gb-2019/2386034/,2019,2,Null
613,Thierry Neuville,Rally Turkey Marmaris,/entryinfo/54470-rally-turkey-marmaris-2019/2363823/,2019,8,Null
630,Thierry Neuville,ADAC Rallye Deutschland,/entryinfo/54469-adac-rallye-deutschland-2019/2355804/,2019,4,Null
649,Thierry Neuville,Neste Rally Finland,/entryinfo/54468-neste-rally-finland-2019/2303181/,2019,6,Null
672,Thierry Neuville,Rally Italia Sardegna,/entryinfo/54467-rally-italia-sardegna-2019/2284039/,2019,6,Null
691,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239687/,2019,2,Null
709,Thierry Neuville,Copec Rally Chile,/entryinfo/54463-copec-rally-chile-2019/2207908/,2019,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident                            </div>"
716,Thierry Neuville,XION Rally Argentina,/entryinfo/54465-xion-rally-argentina-2019/2197569/,2019,1,Null
733,Thierry Neuville,CORSICA Linea Tour de Corse,/entryinfo/54464-corsica-linea-tour-de-corse-2019/2121689/,2019,1,Null
747,Thierry Neuville,Rally Guanajuato Mexico,/entryinfo/54450-rally-guanajuato-mexico-2019/2120197/,2019,4,Null
768,Thierry Neuville,Rally Sweden,/entryinfo/53052-rally-sweden-2019/2084215/,2019,3,Null
787,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/52398-rallye-automobile-monte-carlo-2019/2019872/,2019,2,Null
802,Thierry Neuville,Kennards Hire Rally Australia,/entryinfo/44266-kennards-hire-rally-australia-2018/1996673/,2018,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Lost wheel                            </div>"
823,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/44265-rallyracc-catalunya-costa-daurada-2018/1975186/,2018,4,Null
840,Thierry Neuville,Dayinsure Wales Rally GB,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970353/,2018,5,Null
863,Thierry Neuville,Rally Turkey Marmaris,/entryinfo/44264-rally-turkey-marmaris-2018/1947830/,2018,1,Null
880,Thierry Neuville,ADAC Rallye Deutschland,/entryinfo/44263-adac-rallye-deutschland-2018/1926555/,2018,2,Null
898,Thierry Neuville,Neste Rally Finland,/entryinfo/44262-neste-rally-finland-2018/1848402/,2018,9,Null
921,Thierry Neuville,Rally Italia Sardegna,/entryinfo/44261-rally-italia-sardegna-2018/1825051/,2018,1,Null
941,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/44260-vodafone-rally-de-portugal-2018/1776615/,2018,1,Null
961,Thierry Neuville,YPF Rally Argentina,/entryinfo/44259-ypf-rally-argentina-2018/1754932/,2018,2,Null
979,Thierry Neuville,CORSICA Linea Tour de Corse,/entryinfo/44258-corsica-linea-tour-de-corse-2018/1736158/,2018,3,Null
991,Thierry Neuville,Rally Guanajuato Mexico,/entryinfo/44257-rally-guanajuato-mexico-2018/1712023/,2018,6,Null
1013,Thierry Neuville,Rally Sweden,/entryinfo/42875-rally-sweden-2018/1687624/,2018,1,Null
1032,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/42870-rallye-automobile-monte-carlo-2018/1642081/,2018,5,Null
1049,Thierry Neuville,Kennards Hire Rally Australia,/entryinfo/36023-kennards-hire-rally-australia-2017/1613924/,2017,1,Null
1068,Thierry Neuville,Dayinsure Wales Rally GB,/entryinfo/36022-dayinsure-wales-rally-gb-2017/1605886/,2017,2,Null
1089,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/36021-rallyracc-catalunya-costa-daurada-2017/1559520/,2017,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Lost wheel                            </div>"
1105,Thierry Neuville,ADAC Rallye Deutschland,/entryinfo/36020-adac-rallye-deutschland-2017/1508215/,2017,4,Null
1126,Thierry Neuville,Neste Rally Finland,/entryinfo/36019-neste-rally-finland-2017/1505760/,2017,6,Null
1151,Thierry Neuville,ORLEN Rally Poland,/entryinfo/36431-orlen-rally-poland-2017/1489966/,2017,1,Null
1173,Thierry Neuville,Rally Italia Sardegna,/entryinfo/36018-rally-italia-sardegna-2017/1467517/,2017,3,Null
1192,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/36017-vodafone-rally-de-portugal-2017/1439522/,2017,2,Null
1211,Thierry Neuville,YPF Rally Argentina,/entryinfo/36016-ypf-rally-argentina-2017/1434080/,2017,1,Null
1229,Thierry Neuville,Che Guevara Energy Drink Tour de Corse,/entryinfo/36015-che-guevara-energy-drink-tour-de-corse-2017/1414342/,2017,1,Null
1239,Thierry Neuville,Rally Guanajuato Mexico,/entryinfo/36014-rally-guanajuato-mexico-2017/1384309/,2017,3,Null
1257,Thierry Neuville,Rally Sweden,/entryinfo/35751-rally-sweden-2017/1348371/,2017,1,Null
1274,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/35143-rallye-automobile-monte-carlo-2017/1333330/,2017,1,Null
1289,Thierry Neuville,Kennards Hire Rally Australia,/entryinfo/27494-kennards-hire-rally-australia-2016/1296665/,2016,3,Null
1312,Thierry Neuville,Dayinsure Wales Rally GB,/entryinfo/27499-dayinsure-wales-rally-gb-2016/1276107/,2016,3,Null
1334,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/27504-rallyracc-catalunya-costa-daurada-2016/1262622/,2016,3,Null
1353,Thierry Neuville,Che Guevara Energy Drink Tour de Corse,/entryinfo/27497-che-guevara-energy-drink-tour-de-corse-2016/1254575/,2016,2,Null
1363,Thierry Neuville,ADAC Rallye Deutschland,/entryinfo/27498-adac-rallye-deutschland-2016/1240607/,2016,3,Null
1381,Thierry Neuville,Neste Rally Finland,/entryinfo/27496-neste-rally-finland-2016/1208976/,2016,4,Null
1405,Thierry Neuville,PZM Rajd Polski - Rally Poland,/entryinfo/27502-pzm-rajd-polski-rally-poland-2016/1189672/,2016,4,Null
1426,Thierry Neuville,Rally Italia Sardegna,/entryinfo/27500-rally-italia-sardegna-2016/1177579/,2016,1,Null
1445,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/27503-vodafone-rally-de-portugal-2016/1157283/,2016,2,Null
1464,Thierry Neuville,YPF Rally Argentina,/entryinfo/27493-ypf-rally-argentina-2016/1124983/,2016,6,Null
1482,Thierry Neuville,Rally Guanajuato Mexico,/entryinfo/27501-rally-guanajuato-mexico-2016/1088651/,2016,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident                            </div>"
1493,Thierry Neuville,Rally Sweden,/entryinfo/26241-rally-sweden-2016/1034175/,2016,1,Null
1505,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/25982-rallye-automobile-monte-carlo-2016/1056650/,2016,3,Null
1521,Thierry Neuville,Wales Rally GB,/entryinfo/19132-wales-rally-gb-2015/963804/,2015,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Rolled                            </div>"
1531,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/19130-rallyracc-catalunya-costa-daurada-2015/959412/,2015,8,Null
1554,Thierry Neuville,Tour de Corse,/entryinfo/19499-tour-de-corse-2015/933925/,2015,2,Null
1561,Thierry Neuville,Coates Hire Rally Australia,/entryinfo/19128-coates-hire-rally-australia-2015/905679/,2015,7,Null
1578,Thierry Neuville,ADAC Rallye Deutschland,/entryinfo/19127-adac-rallye-deutschland-2015/894998/,2015,5,Null
1599,Thierry Neuville,Neste Oil Rally Finland,/entryinfo/19126-neste-oil-rally-finland-2015/855261/,2015,4,Null
1619,Thierry Neuville,Lotos Rally Poland - Rajd Polski,/entryinfo/19125-lotos-rally-poland-rajd-polski-2015/853401/,2015,6,Null
1637,Thierry Neuville,Rally Italia Sardegna,/entryinfo/19124-rally-italia-sardegna-2015/833802/,2015,3,Null
1660,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/19123-vodafone-rally-de-portugal-2015/828715/,2015,3,Null
1675,Thierry Neuville,XION Rally Argentina,/entryinfo/19122-xion-rally-argentina-2015/794221/,2015,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident                            </div>"
1686,Thierry Neuville,Rally Guanajuato Mexico,/entryinfo/19121-rally-guanajuato-mexico-2015/767997/,2015,8,Null
1707,Thierry Neuville,Rally Sweden,/entryinfo/19120-rally-sweden-2015/743381/,2015,2,Null
1728,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/18216-rallye-automobile-monte-carlo-2015/694545/,2015,5,Null
1742,Thierry Neuville,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669842/,2014,4,Null
1765,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/13902-rallyracc-catalunya-costa-daurada-2014/657911/,2014,6,Null
1782,Thierry Neuville,Rallye de France - Alsace,/entryinfo/13901-rallye-de-france-alsace-2014/639834/,2014,8,Null
1800,Thierry Neuville,Coates Hire Rally Australia,/entryinfo/13900-coates-hire-rally-australia-2014/619371/,2014,7,Null
1820,Thierry Neuville,ADAC Rallye Deutschland,/entryinfo/13899-adac-rallye-deutschland-2014/604376/,2014,1,Null
1837,Thierry Neuville,Neste Oil Rally Finland,/entryinfo/13898-neste-oil-rally-finland-2014/591752/,2014,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Rollcage damaged                            </div>"
1845,Thierry Neuville,Lotos Rally Poland - Rajd Polski,/entryinfo/13897-lotos-rally-poland-rajd-polski-2014/575049/,2014,3,Null
1867,Thierry Neuville,Rally Italia Sardegna,/entryinfo/13896-rally-italia-sardegna-2014/562163/,2014,1,Null
1884,Thierry Neuville,XION Rally Argentina,/entryinfo/13895-xion-rally-argentina-2014/537041/,2014,5,Null
1898,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/13894-vodafone-rally-de-portugal-2014/513912/,2014,7,Null
1914,Thierry Neuville,Rally Guanajuato Mexico,/entryinfo/13893-rally-guanajuato-mexico-2014/505648/,2014,3,Null
1936,Thierry Neuville,Rally Sweden,/entryinfo/13892-rally-sweden-2014/469089/,2014,2,Null
1959,Thierry Neuville,Wales Rally GB,/entryinfo/6543-wales-rally-gb-2013/434397/,2013,3,Null
1981,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/6542-rallyracc-catalunya-costa-daurada-2013/416152/,2013,4,Null
1996,Thierry Neuville,Rallye de France - Alsace,/entryinfo/6541-rallye-de-france-alsace-2013/397910/,2013,4,Null
2016,Thierry Neuville,Coates Hire Rally Australia,/entryinfo/6540-coates-hire-rally-australia-2013/379537/,2013,2,Null
2038,Thierry Neuville,ADAC Rallye Deutschland,/entryinfo/6539-adac-rallye-deutschland-2013/369423/,2013,2,Null
2053,Thierry Neuville,Neste Oil Rally Finland,/entryinfo/6538-neste-oil-rally-finland-2013/352999/,2013,2,Null
2076,Thierry Neuville,Rally Italia Sardegna,/entryinfo/6537-rally-italia-sardegna-2013/336477/,2013,2,Null
2092,Thierry Neuville,Acropolis Rally,/entryinfo/6536-acropolis-rally-2013/320263/,2013,3,Null
2106,Thierry Neuville,Philips LED Rally Argentina,/entryinfo/6535-philips-led-rally-argentina-2013/295722/,2013,5,Null
2120,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/6534-vodafone-rally-de-portugal-2013/283426/,2013,1,Null
2135,Thierry Neuville,Rally Guanajuato Mexico,/entryinfo/6533-rally-guanajuato-mexico-2013/265239/,2013,3,Null
2158,Thierry Neuville,Rally Sweden,/entryinfo/6532-rally-sweden-2013/244690/,2013,5,Null
2180,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/5887-rallye-automobile-monte-carlo-2013/234783/,2013,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Lost wheel                            </div>"
2183,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/3502-rallyracc-catalunya-costa-daurada-2012/194315/,2012,1,Null
2201,Thierry Neuville,Rally Italia Sardegna,/entryinfo/3500-rally-italia-sardegna-2012/188867/,2012,1,Null
2217,Thierry Neuville,Rallye de France - Alsace,/entryinfo/3499-rallye-de-france-alsace-2012/178372/,2012,4,Null
2238,Thierry Neuville,Wales Rally GB,/entryinfo/3498-wales-rally-gb-2012/173626/,2012,7,Null
2257,Thierry Neuville,ADAC Rallye Deutschland,/entryinfo/3497-adac-rallye-deutschland-2012/167085/,2012,1,Null
2272,Thierry Neuville,Neste Oil Rally Finland,/entryinfo/3494-neste-oil-rally-finland-2012/161947/,2012,1,Null
2290,Thierry Neuville,Brother Rally New Zealand,/entryinfo/3493-brother-rally-new-zealand-2012/152978/,2012,5,Null
2312,Thierry Neuville,Acropolis Rally,/entryinfo/3492-acropolis-rally-2012/150511/,2012,6,Null
2334,Thierry Neuville,Philips Rally Argentina,/entryinfo/3491-philips-rally-argentina-2012/147704/,2012,5,Null
2353,Thierry Neuville,Vodafone Rally de Portugal,/entryinfo/3490-vodafone-rally-de-portugal-2012/145292/,2012,8,Null
2372,Thierry Neuville,Rally Guanajuato Mexico,/entryinfo/3489-rally-guanajuato-mexico-2012/143019/,2012,1,Null
2394,Thierry Neuville,Rally Sweden,/entryinfo/3488-rally-sweden-2012/139855/,2012,1,Null
2418,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/3363-rallye-automobile-monte-carlo-2012/139296/,2012,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Lost wheel                            </div>"
2421,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/398-rallyracc-catalunya-costa-daurada-2009/37297/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator                            </div>"
0,Tommi Mäkinen,Wales Rally GB,/entryinfo/78-wales-rally-gb-2003/4052/,2003,3,Null
18,Tommi Mäkinen,Rally Catalunya - Costa Brava - Rally de España,/entryinfo/77-rally-catalunya-costa-brava-rally-de-espana-2003/4005/,2003,8,Null
40,Tommi Mäkinen,Tour de Corse - Rallye de France,/entryinfo/76-tour-de-corse-rallye-de-france-2003/3942/,2003,7,Null
56,Tommi Mäkinen,Rallye Sanremo - Rallye d'Italia,/entryinfo/75-rallye-sanremo-rallye-ditalia-2003/3888/,2003,1,Null
70,Tommi Mäkinen,Telstra Rally Australia,/entryinfo/74-telstra-rally-australia-2003/4279/,2003,6,Null
94,Tommi Mäkinen,Neste Rally Finland,/entryinfo/73-neste-rally-finland-2003/4208/,2003,6,Null
117,Tommi Mäkinen,ADAC Rallye Deutschland,/entryinfo/72-adac-rallye-deutschland-2003/4129/,2003,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator                            </div>"
123,Tommi Mäkinen,Cyprus Rally,/entryinfo/71-cyprus-rally-2003/3832/,2003,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Over time limit                            </div>"
133,Tommi Mäkinen,Golden Acropolis Rally,/entryinfo/70-golden-acropolis-rally-2003/4419/,2003,5,Null
154,Tommi Mäkinen,YPF Rally Argentina,/entryinfo/69-ypf-rally-argentina-2003/4341/,2003,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Withdrawn                            </div>"
173,Tommi Mäkinen,Propecia Rally New Zealand,/entryinfo/68-propecia-rally-new-zealand-2003/4501/,2003,7,Null
195,Tommi Mäkinen,Rally of Turkey,/entryinfo/67-rally-of-turkey-2003/3762/,2003,8,Null
213,Tommi Mäkinen,Uddeholm Swedish Rally,/entryinfo/66-uddeholm-swedish-rally-2003/3567/,2003,2,Null
229,Tommi Mäkinen,Rallye Automobile Monte-Carlo,/entryinfo/65-rallye-automobile-monte-carlo-2003/3459/,2003,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident                            </div>"
233,Tommi Mäkinen,Network Q Rally of Great Britain,/entryinfo/93-network-q-rally-of-great-britain-2002/4779/,2002,4,Null
249,Tommi Mäkinen,Telstra Rally Australia,/entryinfo/92-telstra-rally-australia-2002/4996/,2002,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Excluded - car weight                            </div>"
272,Tommi Mäkinen,Propecia Rally New Zealand,/entryinfo/91-propecia-rally-new-zealand-2002/5066/,2002,3,Null
